chunk_size,overlap,num_chunks,overall_score,criteria_score_stdev,neighbor_score_stdev,composite
1500,250,19,58.72785885167464,7.9926,0.6162,58.1117
1500,350,20,58.48643939393939,7.8522,0.4389,58.0475
1500,300,20,58.4716028708134,7.6249,0.4586,58.013
1500,400,21,58.153959330143536,7.8147,0.4793,57.6747
1500,100,17,57.95423444976077,8.1547,0.429,57.5252
2000,300,14,58.23340111642743,8.3527,0.7628,57.4706
2000,150,13,57.749377990430624,8.0067,0.3868,57.3626
2000,250,14,57.87505980861244,8.2534,0.6217,57.2534
1500,150,18,57.43047448165869,8.4048,0.3801,57.0504
2000,200,13,57.530059808612435,8.1863,0.5307,56.9994
2000,400,15,57.56741228070176,7.2873,0.7888,56.7786
2500,150,10,57.60155103668261,7.4024,0.8402,56.7614
2000,350,14,57.48488437001596,8.1291,0.7274,56.7575
2000,100,13,56.96951754385966,8.1195,0.3975,56.572
2500,400,11,57.23572966507177,8.6355,0.7093,56.5264
1500,200,18,57.074477671451355,7.5687,0.5615,56.513
2500,250,11,57.80183811802233,7.482,1.3983,56.4035
2500,100,10,57.01177432216906,7.4126,0.8238,56.188
2500,300,11,57.459481658692184,7.6962,1.3347,56.1248
3000,350,9,56.74254784688996,8.1705,0.8437,55.8988
3000,100,9,56.45336124401914,8.2749,0.8947,55.5587
2500,200,11,56.865067783094105,7.4681,1.3242,55.5409
2500,350,11,56.21964513556618,8.2549,0.9547,55.2649
3000,400,9,55.83026315789474,8.0043,0.6129,55.2174
3000,150,9,55.49818580542266,7.6092,0.8491,54.6491
3000,200,9,55.50461323763956,8.4571,1.3919,54.1127
3000,300,9,55.26646331738438,8.2882,1.3435,53.923
3000,250,9,54.26164673046253,7.452,1.3933,52.8683
